Date,Open,High,Low,Close,Volume,Adj Close
2016-09-19,49.419998,51.09,49.299999,50.939999,13565500,50.939999
2016-09-12,48.380001,49.419998,48.380001,49.259998,22009000,49.259998
2016-09-06,49.889999,50.41,48.439999,48.459999,16337600,48.050255
2016-08-29,49.299999,49.75,48.869999,49.630001,13806400,49.210365
2016-08-22,50.349998,50.720001,49.110001,49.150002,10972500,48.734425
2016-08-15,50.900002,51.080002,49.09,50.27,17983000,49.844955
2016-08-08,50.709999,51.27,50.549999,50.900002,10750900,50.469627
2016-08-01,51.990002,52.27,50.700001,50.73,15198600,50.301064
2016-07-25,52.689999,52.740002,51.16,52.119999,13362900,51.67931
2016-07-18,52.060001,52.810001,51.470001,52.759998,11985900,52.313896
2016-07-11,52.380001,52.540001,51.610001,52.00,15485200,51.560326
2016-07-05,52.639999,53.02,51.439999,52.540001,16616700,52.09576
2016-06-27,50.349998,52.759998,50.279999,52.48,15772200,52.036266
2016-06-20,50.470001,50.860001,49.790001,50.41,13040700,49.983768
2016-06-13,50.650002,50.889999,50.040001,50.549999,12977100,50.122585
2016-06-06,50.099998,50.91,49.799999,50.57,9625100,49.735588
2016-05-31,48.75,50.349998,48.740002,50.080002,13322900,49.253677
2016-05-23,48.279999,48.919998,47.799999,48.830002,13736600,48.0243
2016-05-16,49.220001,49.459999,47.25,48.290001,18129200,47.49321
2016-05-09,48.860001,49.709999,48.759998,49.389999,13403500,48.575058
2016-05-02,48.450001,49.75,48.389999,48.830002,17119400,48.0243
2016-04-25,47.150002,48.48,47.119999,48.419998,18131700,47.621063
2016-04-18,48.860001,49.259998,46.73,47.349998,18012500,46.568718
2016-04-11,48.849998,49.16,48.419998,48.889999,12185200,48.083309
2016-04-04,49.82,49.880001,48.310001,48.849998,17191200,48.043968
2016-03-28,48.990002,49.880001,48.630001,49.810001,15178200,48.988132
2016-03-21,48.48,48.98,48.110001,48.91,14378400,48.102978
2016-03-14,48.139999,49.419998,47.799999,48.630001,17571100,47.827599
2016-03-07,47.029999,48.450001,46.880001,48.150002,16858200,47.00211
2016-02-29,46.099998,47.259998,45.080002,47.110001,23481200,45.9869
2016-02-22,46.450001,47.48,46.16,46.169998,17218300,45.069309
2016-02-16,45.790001,46.669998,45.369999,46.200001,17405800,45.098595
2016-02-08,46.470001,47.00,45.189999,45.560001,24792500,44.473854
